"","diff","lwr","upr","p adj"
"Molnupiravir-4'-FlU",-4.5,-18.2699324359027,9.26993243590268,0.753033344074956
"Nirmatrelvir-4'-FlU",1.25,-10.6751112978871,13.1751112978871,0.987906974547161
"Vehicle-4'-FlU",-5.83333333333333,-17.0764360868537,5.409769420187,0.427223419772681
"Nirmatrelvir-Molnupiravir",5.75,-6.17511129788706,17.6751112978871,0.48573865700726
"Vehicle-Molnupiravir",-1.33333333333333,-12.5764360868537,9.909769420187,0.982726083113793
"Vehicle-Nirmatrelvir",-7.08333333333333,-15.9717865004421,1.8051198337754,0.132094342393406
